"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"262";"FEK";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:32:44";"TC.04.02.01.03";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"775";"1";"0";"SUCCESS";"2024/04/14 13:32:01";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"262";"FEK";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:32:44";"TC.04.02.01.03";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"776";"2";"0";"FAILURE";"2024/04/14 13:32:44";"admin";"0";"Místo K15B0123P se zobnrazí E15B0123P"
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"263";"FST";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:32:58";"TC.04.02.01.08";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"777";"1";"0";"SUCCESS";"2024/04/14 13:32:51";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"263";"FST";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:32:58";"TC.04.02.01.08";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"778";"2";"0";"SUCCESS";"2024/04/14 13:32:58";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"264";"FDU";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:12";"TC.04.02.01.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"779";"1";"0";"SUCCESS";"2024/04/14 13:33:04";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"264";"FDU";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:12";"TC.04.02.01.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"780";"2";"0";"SUCCESS";"2024/04/14 13:33:12";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"265";"FAV";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:28";"TC.04.02.01.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"781";"1";"0";"SUCCESS";"2024/04/14 13:33:27";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"265";"FAV";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:28";"TC.04.02.01.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"782";"2";"0";"SUCCESS";"2024/04/14 13:33:28";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"266";"FEL";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:44";"TC.04.02.01.04";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"784";"1";"0";"SUCCESS";"2024/04/14 13:33:44";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"266";"FEL";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:33:44";"TC.04.02.01.04";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"783";"2";"0";"SUCCESS";"2024/04/14 13:33:40";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"267";"FF";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:34:18";"TC.04.02.01.05";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"785";"1";"0";"SUCCESS";"2024/04/14 13:34:17";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"267";"FF";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:34:18";"TC.04.02.01.05";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"786";"2";"0";"SUCCESS";"2024/04/14 13:34:18";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"268";"FPR";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:35:11";"TC.04.02.01.07";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"787";"1";"0";"SUCCESS";"2024/04/14 13:34:28";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"268";"FPR";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:35:11";"TC.04.02.01.07";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"788";"2";"0";"FAILURE";"2024/04/14 13:35:11";"admin";"0";"Místo R15B0123P se zobrazilo P15B0123P"
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"270";"FPE";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:35:23";"TC.04.02.01.06";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"789";"1";"0";"SUCCESS";"2024/04/14 13:35:22";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"270";"FPE";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:35:23";"TC.04.02.01.06";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"790";"2";"0";"SUCCESS";"2024/04/14 13:35:23";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"272";"Rok 00";"15";"OKS-07";"VERY_HIGH";"";"5";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:36:30";"TC.04.02.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"791";"1";"0";"SUCCESS";"2024/04/14 13:36:01";"admin";"0";""
